Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,Sub_metering_remainder
2006-12-16,1209.176,34.922,236.244,13.083,0.000,546.000,4926.000,63.750,9.333,5.667,2.167,0.167,14680.933
2006-12-17,3390.460,226.006,240.087,9.999,2033.000,4187.000,13341.000,63.750,9.333,5.667,2.167,0.167,36946.667
2006-12-18,2203.826,161.792,241.232,6.422,1063.000,2621.000,14018.000,63.750,9.333,5.667,2.167,0.167,19028.433
2006-12-19,1666.194,150.942,241.999,4.926,839.000,7602.000,6197.000,63.750,9.333,5.667,2.167,0.167,13131.900
2006-12-20,2225.748,160.998,242.308,6.467,0.000,2648.000,14063.000,63.750,9.333,5.667,2.167,0.167,20384.800
2006-12-21,1716.624,144.166,241.041,5.034,1765.000,2623.000,10421.000,63.750,9.333,5.667,2.167,0.167,13801.400
2006-12-22,2341.338,186.906,241.185,6.873,3151.000,350.000,11131.000,63.750,9.333,5.667,2.167,0.167,24390.300
2006-12-23,4773.386,221.470,240.136,14.028,2669.000,425.000,14726.000,63.750,9.333,5.667,2.167,0.167,61736.433
2006-12-24,2550.012,149.900,241.687,7.640,1703.000,5082.000,6891.000,63.750,9.333,5.667,2.167,0.167,28824.200
2006-12-25,2743.120,240.280,243.400,7.952,6620.000,1962.000,5795.000,63.750,9.333,5.667,2.167,0.167,31341.667
2006-12-26,3934.110,165.102,241.625,11.348,1086.000,2533.000,14979.000,63.750,9.333,5.667,2.167,0.167,46970.500
2006-12-27,1528.760,178.902,243.767,4.517,0.000,314.000,6976.000,63.750,9.333,5.667,2.167,0.167,18189.333
2006-12-28,2072.638,208.876,243.268,6.086,2207.000,4419.000,9176.000,63.750,9.333,5.667,2.167,0.167,18741.967
2006-12-29,3174.392,196.394,240.871,9.271,1252.000,5162.000,11329.000,63.750,9.333,5.667,2.167,0.167,35163.533
2006-12-30,2789.302,311.928,240.541,8.292,3072.000,7891.000,12480.000,63.750,9.333,5.667,2.167,0.167,23045.367
2006-12-31,3494.196,150.852,239.897,10.200,0.000,347.000,6502.000,63.750,9.333,5.667,2.167,0.167,51387.600
2007-01-01,2749.004,148.166,240.129,7.917,0.000,352.000,5880.000,28.360,10.200,0.600,0.000,0.000,39584.733
2007-01-02,1269.236,190.342,241.944,3.714,0.000,348.000,6562.000,28.360,10.200,0.600,0.000,0.000,14243.933
2007-01-03,1014.054,196.728,243.557,3.014,0.000,344.000,4765.000,28.360,10.200,0.600,0.000,0.000,11791.900
2007-01-04,3259.412,202.302,239.750,9.478,1051.000,7597.000,10896.000,28.360,10.200,0.600,0.000,0.000,34779.533
2007-01-05,2713.364,173.154,240.496,7.885,1483.000,379.000,7602.000,28.360,10.200,0.600,0.000,0.000,35758.733
2007-01-06,1508.378,192.188,239.673,4.544,1336.000,402.000,5678.000,28.360,10.200,0.600,0.000,0.000,17723.633
2007-01-07,2447.620,246.074,240.902,7.283,1987.000,8177.000,12810.000,28.360,10.200,0.600,0.000,0.000,17819.667
2007-01-08,2241.360,207.568,239.577,6.552,0.000,467.000,17547.000,28.360,10.200,0.600,0.000,0.000,19342.000
2007-01-09,1869.054,207.248,240.488,5.521,1688.000,4267.000,9790.000,28.360,10.200,0.600,0.000,0.000,15405.900
2007-01-10,2154.800,228.452,241.027,6.358,771.000,4456.000,11012.000,28.360,10.200,0.600,0.000,0.000,19674.333
2007-01-11,2255.194,230.020,241.156,6.658,1378.000,2170.000,12415.000,28.360,10.200,0.600,0.000,0.000,21623.567
2007-01-12,1461.296,199.140,241.538,4.309,0.000,439.000,8276.000,28.360,10.200,0.600,0.000,0.000,15639.933
2007-01-13,3186.814,290.736,239.284,9.453,7806.000,2975.000,11341.000,28.360,10.200,0.600,0.000,0.000,30991.567
2007-01-14,3007.816,227.120,238.822,8.968,1777.000,4215.000,12975.000,28.360,10.200,0.600,0.000,0.000,31163.267
2007-01-15,2148.678,174.860,241.241,6.262,1099.000,2239.000,15163.000,28.360,10.200,0.600,0.000,0.000,17310.300
2007-01-16,1686.404,185.428,241.945,4.976,2063.000,644.000,6583.000,28.360,10.200,0.600,0.000,0.000,18816.733
2007-01-17,2847.688,200.752,241.005,8.284,3500.000,5737.000,16064.000,28.360,10.200,0.600,0.000,0.000,22160.467
2007-01-18,1821.462,177.712,240.894,5.342,0.000,336.000,13491.000,28.360,10.200,0.600,0.000,0.000,16530.700
2007-01-19,1480.440,170.052,240.161,4.376,2103.000,330.000,7172.000,28.360,10.200,0.600,0.000,0.000,15069.000
2007-01-20,3133.732,238.362,238.867,9.348,4324.000,5222.000,11440.000,28.360,10.200,0.600,0.000,0.000,31242.867
2007-01-21,3407.262,229.736,238.968,10.191,10346.000,5567.000,11599.000,28.360,10.200,0.600,0.000,0.000,29275.700
2007-01-22,2180.494,168.642,241.603,6.355,1054.000,2983.000,11361.000,28.360,10.200,0.600,0.000,0.000,20943.567
2007-01-23,1777.640,138.280,242.763,5.261,0.000,1064.000,5061.000,28.360,10.200,0.600,0.000,0.000,23502.333
2007-01-24,2987.854,178.060,241.458,8.734,3464.000,2480.000,11744.000,28.360,10.200,0.600,0.000,0.000,32109.567
2007-01-25,1596.344,144.160,243.424,4.629,1158.000,262.000,11239.000,28.360,10.200,0.600,0.000,0.000,13946.733
2007-01-26,1617.972,142.902,242.772,4.721,1163.000,261.000,8238.000,28.360,10.200,0.600,0.000,0.000,17304.200
2007-01-27,2044.072,148.242,241.617,5.950,1170.000,3896.000,12374.000,28.360,10.200,0.600,0.000,0.000,16627.867
2007-01-28,3090.204,153.352,240.305,9.134,3466.000,3997.000,12045.000,28.360,10.200,0.600,0.000,0.000,31995.400
2007-01-29,1982.664,165.696,240.930,5.789,1123.000,294.000,15254.000,28.360,10.200,0.600,0.000,0.000,16373.400
2007-01-30,1707.798,180.934,241.841,5.028,1123.000,1424.000,8149.000,28.360,10.200,0.600,0.000,0.000,17767.300
2007-01-31,2363.752,185.988,239.921,6.924,0.000,5950.000,15052.000,28.360,10.200,0.600,0.000,0.000,18393.867
2007-02-01,1824.760,150.264,240.392,5.332,1170.000,386.000,13145.000,84.117,13.333,6.500,3.000,0.000,15711.667
2007-02-02,1667.736,139.542,240.334,4.871,0.000,356.000,11338.000,84.117,13.333,6.500,3.000,0.000,16101.600
2007-02-03,4029.722,245.824,238.910,11.816,4746.000,4573.000,17834.000,84.117,13.333,6.500,3.000,0.000,40009.033
2007-02-04,3595.940,186.494,239.633,10.565,3391.000,4597.000,14472.000,84.117,13.333,6.500,3.000,0.000,37472.333
2007-02-05,1645.280,147.228,240.810,4.820,896.000,2564.000,7849.000,84.117,13.333,6.500,3.000,0.000,16112.333
2007-02-06,1273.480,142.566,241.264,3.772,1185.000,405.000,4517.000,84.117,13.333,6.500,3.000,0.000,15117.667
2007-02-07,2328.018,177.708,241.150,6.792,3299.000,3513.000,11986.000,84.117,13.333,6.500,3.000,0.000,20002.300
2007-02-08,1801.414,138.896,241.797,5.248,2226.000,366.000,10157.000,84.117,13.333,6.500,3.000,0.000,17274.567
2007-02-09,1620.198,158.066,241.740,4.727,0.000,3045.000,9770.000,84.117,13.333,6.500,3.000,0.000,14188.300
2007-02-10,2829.328,192.974,240.037,8.304,5071.000,2831.000,14405.000,84.117,13.333,6.500,3.000,0.000,24848.467
2007-02-11,3571.228,204.314,239.506,10.527,2430.000,4765.000,13114.000,84.117,13.333,6.500,3.000,0.000,39211.467
2007-02-12,1877.610,136.704,240.098,5.503,2227.000,399.000,11517.000,84.117,13.333,6.500,3.000,0.000,17150.500
2007-02-13,1414.546,134.678,241.167,4.144,0.000,2828.000,6256.000,84.117,13.333,6.500,3.000,0.000,14491.767
2007-02-14,2498.672,202.506,240.375,7.315,3295.000,3793.000,11579.000,84.117,13.333,6.500,3.000,0.000,22977.533
2007-02-15,1985.346,165.964,240.669,5.820,0.000,2363.000,14028.000,84.117,13.333,6.500,3.000,0.000,16698.100
2007-02-16,1702.528,151.686,240.821,5.047,1148.000,859.000,8689.000,84.117,13.333,6.500,3.000,0.000,17679.467
2007-02-17,2076.912,238.968,239.316,6.129,1765.000,2226.000,7157.000,84.117,13.333,6.500,3.000,0.000,23467.200
2007-02-18,3829.762,255.522,239.171,11.239,6107.000,8003.000,13129.000,84.117,13.333,6.500,3.000,0.000,36590.367
2007-02-19,2186.614,176.584,239.790,6.442,1634.000,2900.000,13085.000,84.117,13.333,6.500,3.000,0.000,18824.567
2007-02-20,3149.928,187.158,239.865,9.168,2058.000,5191.000,9713.000,84.117,13.333,6.500,3.000,0.000,35536.800
2007-02-21,2072.874,189.870,240.461,6.074,3527.000,2332.000,11548.000,84.117,13.333,6.500,3.000,0.000,17140.900
2007-02-22,3369.478,137.954,238.624,9.871,1409.000,4129.000,12251.000,84.117,13.333,6.500,3.000,0.000,38368.967
2007-02-23,1313.480,149.344,240.686,3.825,0.000,503.000,10786.000,84.117,13.333,6.500,3.000,0.000,10602.333
2007-02-24,714.922,122.202,239.863,2.086,0.000,363.000,3562.000,84.117,13.333,6.500,3.000,0.000,7990.367
2007-02-25,501.740,113.736,241.682,1.462,0.000,329.000,1660.000,84.117,13.333,6.500,3.000,0.000,6373.333
2007-02-26,568.484,108.280,241.274,1.659,0.000,331.000,2830.000,84.117,13.333,6.500,3.000,0.000,6313.733
2007-02-27,518.112,113.204,242.944,1.525,0.000,314.000,1924.000,84.117,13.333,6.500,3.000,0.000,6397.200
2007-02-28,520.774,113.372,242.160,1.528,0.000,340.000,1973.000,84.117,13.333,6.500,3.000,0.000,6366.567
2007-03-01,517.564,107.628,241.321,1.509,0.000,316.000,1980.000,43.217,12.833,2.667,0.000,0.000,6330.067
2007-03-02,515.688,107.008,240.592,1.507,0.000,340.000,1969.000,43.217,12.833,2.667,0.000,0.000,6285.800
2007-03-03,819.122,134.992,241.288,2.401,0.000,347.000,4597.000,43.217,12.833,2.667,0.000,0.000,8708.033
2007-03-04,2090.700,175.682,240.030,6.158,1476.000,8711.000,9408.000,43.217,12.833,2.667,0.000,0.000,15250.000
2007-03-05,2660.332,205.956,240.031,7.840,5727.000,12109.000,10026.000,43.217,12.833,2.667,0.000,0.000,16476.867
2007-03-06,1246.500,186.148,240.988,3.696,0.000,1740.000,4700.000,43.217,12.833,2.667,0.000,0.000,14335.000
2007-03-07,2375.206,171.200,240.324,6.935,1076.000,4761.000,15513.000,43.217,12.833,2.667,0.000,0.000,18236.767
2007-03-08,1572.132,187.404,240.665,4.665,2180.000,3385.000,6655.000,43.217,12.833,2.667,0.000,0.000,13982.200
2007-03-09,1272.612,119.238,240.888,3.731,1093.000,345.000,8631.000,43.217,12.833,2.667,0.000,0.000,11141.200
2007-03-10,2484.712,243.528,239.803,7.342,4130.000,5422.000,10979.000,43.217,12.833,2.667,0.000,0.000,20880.867
2007-03-11,3480.636,173.374,240.007,10.122,4810.000,3420.000,9500.000,43.217,12.833,2.667,0.000,0.000,40280.600
2007-03-12,1950.668,134.422,240.559,5.728,1403.000,2841.000,12353.000,43.217,12.833,2.667,0.000,0.000,15914.133
2007-03-13,1290.144,126.718,240.898,3.806,1350.000,3859.000,5323.000,43.217,12.833,2.667,0.000,0.000,10970.400
2007-03-14,1793.364,157.522,240.777,5.267,3485.000,480.000,8607.000,43.217,12.833,2.667,0.000,0.000,17317.400
2007-03-15,1884.814,159.326,240.280,5.523,0.000,3263.000,11036.000,43.217,12.833,2.667,0.000,0.000,17114.567
2007-03-16,1702.054,130.208,239.527,4.992,1106.000,4604.000,5370.000,43.217,12.833,2.667,0.000,0.000,17287.567
2007-03-17,2028.090,127.068,238.225,5.946,2208.000,359.000,12275.000,43.217,12.833,2.667,0.000,0.000,18959.500
2007-03-18,2371.046,241.450,241.048,7.008,6564.000,7369.000,5856.000,43.217,12.833,2.667,0.000,0.000,19728.433
2007-03-19,2152.518,144.764,240.497,6.282,1648.000,2686.000,14118.000,43.217,12.833,2.667,0.000,0.000,17423.300
2007-03-20,2086.228,164.870,240.816,6.151,3745.000,2837.000,11255.000,43.217,12.833,2.667,0.000,0.000,16933.467
2007-03-21,2142.092,142.830,240.987,6.237,1865.000,4133.000,12335.000,43.217,12.833,2.667,0.000,0.000,17368.533
2007-03-22,1454.978,113.826,241.764,4.223,353.000,736.000,10462.000,43.217,12.833,2.667,0.000,0.000,12698.633
2007-03-23,1309.008,119.488,241.645,3.804,1127.000,777.000,8369.000,43.217,12.833,2.667,0.000,0.000,11543.800
2007-03-24,2968.430,191.024,239.704,8.703,3707.000,5797.000,16382.000,43.217,12.833,2.667,0.000,0.000,23587.833
2007-03-25,3336.124,235.972,240.033,9.722,4630.000,3600.000,9358.000,43.217,12.833,2.667,0.000,0.000,38014.067
2007-03-26,1416.082,160.966,241.337,4.183,1088.000,344.000,9096.000,43.217,12.833,2.667,0.000,0.000,13073.367
2007-03-27,1105.140,151.726,240.602,3.297,0.000,3019.000,3697.000,43.217,12.833,2.667,0.000,0.000,11703.000
2007-03-28,2333.898,196.518,240.445,6.855,1122.000,8527.000,13888.000,43.217,12.833,2.667,0.000,0.000,15361.300
2007-03-29,1590.406,198.696,240.537,4.677,1162.000,460.000,10724.000,43.217,12.833,2.667,0.000,0.000,14160.767
2007-03-30,1402.394,181.128,241.039,4.190,1094.000,468.000,8217.000,43.217,12.833,2.667,0.000,0.000,13594.233
2007-03-31,3509.510,231.504,239.261,10.265,2620.000,7707.000,17682.000,43.217,12.833,2.667,0.000,0.000,30482.833
2007-04-01,2785.952,202.552,240.024,8.149,4629.000,5401.000,19509.000,10.567,1.000,0.833,0.667,0.000,16893.533
2007-04-02,1960.778,174.336,240.460,5.713,1755.000,970.000,16641.000,10.567,1.000,0.833,0.667,0.000,13313.633
2007-04-03,1642.820,168.760,240.505,4.846,3630.000,1042.000,7637.000,10.567,1.000,0.833,0.667,0.000,15071.333
2007-04-04,2051.868,172.318,240.332,5.986,3434.000,420.000,14748.000,10.567,1.000,0.833,0.667,0.000,15595.800
2007-04-05,1844.078,244.538,241.173,5.492,1086.000,4277.000,10523.000,10.567,1.000,0.833,0.667,0.000,14848.633
2007-04-06,1601.140,143.214,241.184,4.689,0.000,5466.000,9166.000,10.567,1.000,0.833,0.667,0.000,12053.667
2007-04-07,1553.924,138.730,240.379,4.565,1127.000,3111.000,5923.000,10.567,1.000,0.833,0.667,0.000,15737.733
2007-04-08,1608.816,135.882,240.349,4.720,0.000,485.000,3545.000,10.567,1.000,0.833,0.667,0.000,22783.600
2007-04-09,1000.920,160.110,240.550,2.975,2667.000,514.000,3801.000,10.567,1.000,0.833,0.667,0.000,9700.000
